"","Constit_Code","ConstituencyName.x","Winner19","Electorate19","Conservative","Labour","Liberal Democrat","Scottish National Party","Plaid Cymru","Green","Reform UK","Other","Winner","results"
"57","E14000586","Bracknell","Conservative",78978,0.38065933875838,0.317852790379029,0.131361244324468,0.00000982177717612702,0.0000459329034768747,0.0732487743177929,0.0464639683440228,0.0503581291956541,"Conservative","Conservative Hold"
"58","E14000587","Bradford East","Labour",73206,0.213601958549696,0.510298494706372,0.0625057669493155,0.0289187785959055,0.0205077746317198,0.058212064839234,0.0409133446788127,0.0650418170489448,"Labour","Labour Hold"
"59","E14000588","Bradford South","Labour",69046,0.300109143764554,0.433359292853766,0.0600517241680459,0.0334852881523035,0.00927782149138201,0.057224117965841,0.0497880393855076,0.0567045722186001,"Labour","Labour Hold"
"60","E14000589","Bradford West","Labour",70694,0.173556908141057,0.581352792408202,0.0534989740923546,0.0226149014500845,0.0192339496132567,0.0605416528773225,0.0297205950639218,0.0594802263538009,"Labour","Labour Hold"
"61","E14000590","Braintree","Conservative",75208,0.431495336782042,0.323753763811642,0.0887855138263284,0.0000986857757276062,0.0000412630797700574,0.0489247127147725,0.0560666940389477,0.0508340299707698,"Conservative","Conservative Hold"
"62","E14000591","Brent Central","Labour",84032,0.194063672671802,0.547906665063387,0.0739951250230434,0.0000382767450254697,0.00012394822300892,0.0745064375807272,0.0291550340961633,0.0802108405968421,"Labour","Labour Hold"
"63","E14000592","Brent North","Labour",83788,0.266258356286469,0.496851894028044,0.0773763840709182,0.000123326389800268,0.0000745504785383808,0.065039035456007,0.031412998191819,0.0628634550984049,"Labour","Labour Hold"
"64","E14000593","Brentford and Isleworth","Labour",85775,0.240289153440922,0.49824324232502,0.0995219186791093,0.0000432880419962956,0.00008462309431254,0.0736952008448042,0.02754276220653,0.0605798113673062,"Labour","Labour Hold"
"65","E14000594","Brentwood and Ongar","Conservative",75255,0.447671706862224,0.284787494915928,0.112934936517914,0.0000487360342299818,0.0000969396354144077,0.0605846560446918,0.048908590133716,0.0449669398558814,"Conservative","Conservative Hold"
"66","E14000595","Bridgwater and West Somerset","Conservative",85327,0.422304437581172,0.297932700124539,0.114148374921199,0.0000493808595607331,0.0000378714443494973,0.0716686320249548,0.0528143678517829,0.0410442351924427,"Conservative","Conservative Hold"
"67","E14000596","Brigg and Goole","Conservative",65939,0.433852062620365,0.299658722785143,0.0709115843397402,0.0253100405319138,0.00524643900555647,0.0607035705522628,0.058790366585707,0.0455272135793126,"Conservative","Conservative Hold"
"68","E14000597","Brighton, Kemptown","Labour",69833,0.282942699327843,0.468215725147457,0.0901694724224788,0.0000382861915155196,0.0000432557305863104,0.0768325260433268,0.0327505843451597,0.0490074507916334,"Labour","Labour Hold"
"69","E14000598","Brighton, Pavilion","Green",79057,0.141707181425258,0.203541339168077,0.159048016555063,0.000124434666244319,0.00161892172586336,0.42195575914633,0.0160087682681856,0.0559955790449788,"Green","Green Hold"
"70","E14000599","Bristol East","Labour",73867,0.275081365118442,0.483360235300938,0.0836704597832276,0.0000540540983158724,0.000192820096753974,0.0860875948611981,0.0333594375578652,0.0381940331832586,"Labour","Labour Hold"
"71","E14000600","Bristol North West","Labour",76273,0.28923392291782,0.466043524908289,0.0951808885651366,0.0000124764622188261,0.0000416326671195943,0.0859985622456199,0.027924644755783,0.0355643474780133,"Labour","Labour Hold"
"72","E14000601","Bristol South","Labour",84079,0.271542812511215,0.476570391568456,0.0884012752709635,0.0000424327568892672,0.000125485617916857,0.0886428389217065,0.0340020107861693,0.0406727525666839,"Labour","Labour Hold"
"73","E14000602","Bristol West","Labour",99253,0.107468621978799,0.504397073402536,0.067733622442905,0.0000927984911791563,0.000411809026205462,0.279095315149402,0.0117015197440513,0.0290992397649225,"Labour","Labour Hold"
"74","E14000603","Broadland","Conservative",78151,0.422495531687713,0.306688866572668,0.12057275166326,0.0000716114743428127,0.0000392613547565274,0.0549998000210483,0.0493497139532141,0.0457824632729983,"Conservative","Conservative Hold"
"75","E14000604","Bromley and Chislehurst","Conservative",66697,0.365424422091478,0.349144560723865,0.116102360539854,0.0000780034208372767,0.0000409785041753466,0.0603990775087634,0.040641298013975,0.0681692991970525,"Conservative","Conservative Hold"
